2023-06-19/21:41:32		Start of Validation on files!!
2023-06-19/21:41:37		Raw Data Validation Complete!!
2023-06-19/21:41:37		Starting Data Transforamtion!!
2023-06-19/21:41:44		DataTransformation Completed!!!
2023-06-19/21:41:44		Creating Training_Database and tables on the basis of given schema!!!
2023-06-19/21:41:48		Table creation Completed!!
2023-06-19/21:41:48		Insertion of Data into Table started!!!!
2023-06-19/21:41:52		Insertion in Table completed!!!
2023-06-19/21:41:52		Deleting Good Data Folder!!!
2023-06-19/21:41:52		Good_Data folder deleted!!!
2023-06-19/21:41:52		Moving bad files to Archive and deleting Bad_Data folder!!!
2023-06-19/21:41:52		Bad files moved to archive!! Bad folder Deleted!!
2023-06-19/21:41:52		Validation Operation completed!!
2023-06-19/21:41:52		Extracting csv file from table
